,Accuracy,AUC
Logistic Regression,0.5172413793103449,0.5282008368200837
Gradient Boosting,0.44396551724137934,0.4571827057182706
XGBoost,0.4676724137931034,0.4531473733147373
Random Forest,0.4504310344827586,0.4335471873547187
